tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"April","Hasil industri","Perlengkapan olahraga",10249
2005,"April","Hasil industri","Produk keramik",19709
2005,"April","Hasil industri","Makanan ternak",5270
2005,"April","Hasil industri","Margarin dan lemak lainnya",6505
2005,"April","Hasil industri","Produk farmasi",6193
2005,"April","Hasil industri","Barang dari logam mulia",4970
2005,"April","Hasil industri","Kulit dan barang dari kulit",8307
2005,"April","Hasil industri","Preparat pembasmi kuman",935
2005,"April","Hasil industri","Pesawat udara dan bagiannya",17513
2005,"April","Hasil industri","Bahan celup organik sintetik",7906
2005,"April","Hasil industri","Semen",10005
2005,"April","Hasil industri","Kendaraan bermotor roda 2 dan 3",18768
2005,"April","Hasil industri","Barang anyaman",0
2005,"April","Hasil industri","Rotan olahan",0
2005,"April","Hasil industri","Peti kemas",0
2005,"April","Hasil industri","Gliserol dan larutan alkali",0
2005,"April","Hasil industri","Hasil industri lainnya",1129395
2005,"April","Hasil pertambangan dan sektor lainnya","Batubara",364040
2005,"April","Hasil pertambangan dan sektor lainnya","Biji tembaga",315246
2005,"April","Hasil pertambangan dan sektor lainnya","Biji nikel",7198
2005,"April","Hasil pertambangan dan sektor lainnya","Bauksit",1100
2005,"April","Hasil pertambangan dan sektor lainnya","Granit",1540
2005,"April","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",36085
2005,"April","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",222
2005,"April","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",43697
2005,"Mei","Hasil pertanian","Biji coklat",20630
2005,"Mei","Hasil pertanian","Udang",59756
2005,"Mei","Hasil pertanian","Biji kopi",35616
2005,"Mei","Hasil pertanian","Ikan dan lain-lain",18516
2005,"Mei","Hasil pertanian","Rempah-rempah",11650
2005,"Mei","Hasil pertanian","Teh",11542
2005,"Mei","Hasil pertanian","Bahan nabati",817
2005,"Mei","Hasil pertanian","Buah-buahan",102
2005,"Mei","Hasil pertanian","Tembakau",25629
2005,"Mei","Hasil pertanian","Sayur-sayuran",1257
2005,"Mei","Hasil pertanian","Damar dan getah damar",1481
2005,"Mei","Hasil pertanian","Karet alam",200
2005,"Mei","Hasil pertanian","Hasil pertanian lainnya",45283
2005,"Mei","Hasil industri","Minyak sawit",416679
2005,"Mei","Hasil industri","Tekstil dan produk tekstil",512989
2005,"Mei","Hasil industri","Peralatan listrik, alat ukur dan optik",491863
2005,"Mei","Hasil industri","Produk logam dasar ",440547
2005,"Mei","Hasil industri","Karet olahan ",33212
2005,"Mei","Hasil industri","Kertas dan barang dari kertas",23784
2005,"Mei","Hasil industri","Makanan olahan",164955
2005,"Mei","Hasil industri","Bahan kimia",184044
2005,"Mei","Hasil industri","Produk kayu olahan",230700
2005,"Mei","Hasil industri","Alas kaki",120363
2005,"Mei","Hasil industri","Damar tiruan, bahan plastik",124084
2005,"Mei","Hasil industri","Furnitur",161820
2005,"Mei","Hasil industri","Kapal laut dan sejenisnya",12606
2005,"Mei","Hasil industri","Bahan kertas",23
2005,"Mei","Hasil industri","Suku cadang kendaraan",78872
2005,"Mei","Hasil industri","Kendaraan bermotor roda 4 dan lebih",103307
2005,"Mei","Hasil industri","Emas batangan",0
2005,"Mei","Hasil industri","Suku cadang mesin",64612
2005,"Mei","Hasil industri","Asam berlemak",37287
2005,"Mei","Hasil industri","Komputer dan bagiannya",0
2005,"Mei","Hasil industri","Sabun mandi dan cuci",27493
2005,"Mei","Hasil industri","Minyak atsiri dan lainnya",9097
2005,"Mei","Hasil industri","Gelas dan barang dari gelas",33274
2005,"Mei","Hasil industri","Pupuk",8135
2005,"Mei","Hasil industri","Perlengkapan olahraga",14520
2005,"Mei","Hasil industri","Produk keramik",22114
